City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
428,Omboue,GA,78.55,broken clouds,-1.5746,9.2618,Georges Faustin Aurat
431,Benguela,AO,77.23,broken clouds,-12.5763,13.4055,Hotel Moibela
436,San Juan De Los Morros,VE,76.33,broken clouds,9.9115,-67.3538,El Brasero
439,Santa Cruz,BO,89.06,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
449,Ciudad Bolivar,VE,82.06,overcast clouds,8.1222,-63.5497,Paoca
459,Vallenar,CL,77.65,clear sky,-28.5708,-70.7581,Hotel del Marqués
464,Humaita,BR,75.61,overcast clouds,-7.5061,-63.0208,Humaita Quality Hotel
467,Martapura,ID,75.29,few clouds,-3.4167,114.85,Q-Hotel Grand Dafam
471,Salinopolis,BR,78.91,moderate rain,-0.6136,-47.3561,Hotel Salinópolis
480,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
488,Kununurra,AU,75.18,overcast clouds,-15.7667,128.7333,Kununurra Country Club Resort
510,Sinnamary,GF,76.64,overcast clouds,5.3833,-52.95,Hôtel du fleuve
512,Cap Malheureux,MU,77.47,clear sky,-19.9842,57.6142,Cape Garden
514,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Decameron Isleño
517,Vao,NC,78.28,light rain,-22.6667,167.4833,Nataiwatch
523,Escuinapa,MX,79.39,clear sky,22.85,-105.8,Hotel Iq
532,Manta,EC,82.18,broken clouds,-0.95,-80.7333,La Gaviota
539,Pitimbu,BR,81.19,scattered clouds,-7.4706,-34.8086,Pousada Brisa Mar
540,Madang,PG,80.4,overcast clouds,-5.2246,145.7966,Madang Star International
546,Nabire,ID,76.62,overcast clouds,-3.3667,135.4833,Hotel Anggrek
547,Itaituba,BR,77.16,broken clouds,-4.2761,-55.9836,TG Hotel
550,Montevideo,UY,79.83,broken clouds,-34.8335,-56.1674,Hotel Escuela
554,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
