City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
51,Sao Filipe,CV,2022-12-27 22:26:27,14.8961,-24.4956,71.37,61,100,10.74,overcast clouds
52,Bethel,US,2022-12-27 22:26:27,41.3712,-73.414,32.09,59,100,4.61,overcast clouds
53,Chuy,UY,2022-12-27 22:16:47,-33.6971,-53.4616,68.07,62,100,11.48,overcast clouds
54,Finschhafen,PG,2022-12-27 22:26:28,-6.6024,147.8681,82.85,79,100,10.92,overcast clouds
55,Atar,MR,2022-12-27 22:26:28,20.5169,-13.0499,65.1,25,51,1.19,broken clouds
56,Atikokan,CA,2022-12-27 22:26:28,48.7555,-91.6216,18.75,94,100,5.95,overcast clouds
57,Kawambwa,ZM,2022-12-27 22:26:29,-9.7915,29.0791,61.14,98,96,1.81,light rain
58,Kapaa,US,2022-12-27 22:26:29,22.0752,-159.319,81.12,72,0,9.22,clear sky
59,Paamiut,GL,2022-12-27 22:26:29,61.994,-49.6678,22.93,89,98,12.19,overcast clouds
60,Grindavik,IS,2022-12-27 22:19:18,63.8424,-22.4338,21.67,79,20,12.66,few clouds
61,Chokurdakh,RU,2022-12-27 22:24:21,70.6333,147.9167,-29.27,100,93,5.23,overcast clouds
62,Hilo,US,2022-12-27 22:13:22,19.7297,-155.09,88.29,71,0,9.22,clear sky
63,Arraial Do Cabo,BR,2022-12-27 22:26:30,-22.9661,-42.0278,80.46,74,40,14.97,scattered clouds
64,Monteagudo,BO,2022-12-27 22:26:30,-19.8167,-63.9833,68.4,94,84,4.25,broken clouds
65,Cape Town,ZA,2022-12-27 22:26:30,-33.9258,18.4232,68.11,72,0,9.22,clear sky
66,Thompson,CA,2022-12-27 22:15:33,55.7435,-97.8558,-11.04,77,75,5.75,broken clouds
67,Paita,PE,2022-12-27 22:17:55,-5.0892,-81.1144,72.75,75,89,14.88,overcast clouds
68,Ibra,OM,2022-12-27 22:26:31,22.6906,58.5334,66.24,83,60,1.39,broken clouds
69,North Branch,US,2022-12-27 22:26:31,45.5113,-92.9802,26.96,80,100,4.0,overcast clouds
70,Krasnyy Chikoy,RU,2022-12-27 22:26:31,50.3643,108.7512,-15.56,100,81,2.15,broken clouds
71,Saint-Philippe,RE,2022-12-27 22:19:11,-21.3585,55.7679,74.79,81,36,11.32,light rain
72,Port Elizabeth,ZA,2022-12-27 22:26:32,-33.918,25.5701,68.29,88,40,19.57,scattered clouds
73,Ginda,IN,2022-12-27 22:26:32,30.6945,78.4932,40.33,16,0,7.61,clear sky
74,East London,ZA,2022-12-27 22:16:52,-33.0153,27.9116,70.7,92,3,10.83,clear sky
75,Geraldton,AU,2022-12-27 22:26:32,-28.7667,114.6,59.41,82,0,9.22,clear sky
76,Nantucket,US,2022-12-27 22:22:39,41.2835,-70.0995,33.91,59,0,8.05,clear sky
77,Tiarei,PF,2022-12-27 22:26:33,-17.5333,-149.3333,86.02,72,23,12.93,few clouds
78,Bredasdorp,ZA,2022-12-27 22:26:33,-34.5322,20.0403,67.82,76,99,4.97,overcast clouds
79,Sorong,ID,2022-12-27 22:26:33,-0.8833,131.25,80.44,75,100,8.23,overcast clouds
80,Isangel,VU,2022-12-27 22:19:17,-19.55,169.2667,87.91,74,75,6.91,broken clouds
81,Yulara,AU,2022-12-27 22:26:33,-25.2406,130.9889,84.49,48,10,10.67,clear sky
82,Airai,TL,2022-12-27 22:16:30,-8.9266,125.4092,61.3,92,100,2.17,overcast clouds
83,Atbasar,KZ,2022-12-27 22:26:34,51.8,68.3333,6.01,96,78,3.15,broken clouds
84,Flin Flon,CA,2022-12-27 22:26:34,54.7682,-101.865,1.24,66,75,10.36,broken clouds
85,Hobart,AU,2022-12-27 22:18:07,-42.8794,147.3294,85.26,45,0,26.46,light rain
86,Hasaki,JP,2022-12-27 22:26:34,35.7333,140.8333,32.4,52,36,3.2,scattered clouds
87,Faanui,PF,2022-12-27 22:20:36,-16.4833,-151.75,81.21,72,14,13.58,few clouds
88,North Bend,US,2022-12-27 22:25:29,43.4065,-124.2243,51.71,82,100,18.41,mist
89,Yar-Sale,RU,2022-12-27 22:27:35,66.8333,70.8333,-11.36,97,41,8.68,scattered clouds
90,Jamestown,US,2022-12-27 22:24:04,42.097,-79.2353,24.55,88,100,8.05,overcast clouds
91,Triunfo,BR,2022-12-27 22:24:54,-29.9433,-51.7181,70.47,60,97,10.38,light rain
92,Pevek,RU,2022-12-27 22:27:35,69.7008,170.3133,-9.04,99,100,2.93,overcast clouds
93,Klyuchi,RU,2022-12-27 22:27:36,52.2667,79.1667,4.95,88,93,7.76,overcast clouds
94,Mar Del Plata,AR,2022-12-27 22:23:12,-38.0023,-57.5575,77.02,69,0,14.97,clear sky
95,San Patricio,US,2022-12-27 22:27:36,28.017,-97.5169,63.32,38,0,7.96,clear sky
96,Souillac,MU,2022-12-27 22:27:36,-20.5167,57.5167,79.18,73,40,10.36,scattered clouds
97,Esso,RU,2022-12-27 22:27:37,55.9333,158.7,5.43,69,4,6.93,clear sky
98,Hay River,CA,2022-12-27 22:27:37,60.8156,-115.7999,-0.42,78,100,6.91,light snow
